breeding,score,generation
uniform,6000.3258426966295,50
uniform,6000.3258426966295,51
uniform,6000.3258426966295,52
uniform,6000.3258426966295,53
uniform,6000.3258426966295,54
uniform,6000.3258426966295,55
uniform,6000.3258426966295,56
uniform,6015.3258426966295,57
uniform,6000.3258426966295,58
uniform,6000.3258426966295,59
uniform,6000.3258426966295,60
uniform,6000.3258426966295,61
uniform,6000.3258426966295,62
uniform,5885.247191011236,63
uniform,5918.606741573034,64
uniform,5953.52808988764,65
uniform,5940.887640449438,66
uniform,5884.247191011236,67
uniform,5848.168539325843,68
uniform,5848.168539325843,69
uniform,6055.52808988764,70
uniform,6055.52808988764,71
uniform,5848.168539325843,72
uniform,5848.168539325843,73
uniform,5848.168539325843,74
uniform,5848.168539325843,75
uniform,5848.168539325843,76
uniform,5848.168539325843,77
uniform,5934.887640449438,78
uniform,5934.887640449438,79
uniform,5848.168539325843,80
uniform,5848.168539325843,81
uniform,5848.168539325843,82
uniform,5848.168539325843,83
uniform,6118.606741573034,84
uniform,6118.606741573034,85
uniform,6118.606741573034,86
uniform,5851.808988764045,87
uniform,5817.808988764045,88
uniform,5688.168539325843,89
uniform,5766.247191011236,90
uniform,5766.247191011236,91
uniform,6002.247191011236,92
uniform,6002.247191011236,93
uniform,5766.247191011236,94
uniform,5766.247191011236,95
uniform,5823.168539325843,96
uniform,5823.168539325843,97
uniform,5823.168539325843,98
uniform,5823.168539325843,99
uniform,5823.168539325843,100
uniform,5823.168539325843,101
uniform,5823.168539325843,102
uniform,5728.887640449438,103
uniform,5741.247191011236,104
uniform,5741.247191011236,105
uniform,5917.52808988764,106
uniform,5917.52808988764,107
uniform,5917.52808988764,108
uniform,5852.808988764045,109
uniform,5852.808988764045,110
uniform,5707.449438202247,111
uniform,5736.449438202247,112
uniform,5836.247191011236,113
uniform,5836.247191011236,114
uniform,5847.808988764045,115
uniform,5736.449438202247,116
uniform,5816.808988764045,117
uniform,5736.449438202247,118
uniform,5736.449438202247,119
uniform,5736.449438202247,120
uniform,5938.168539325843,121
uniform,5621.089887640449,122
uniform,5621.089887640449,123
uniform,5621.089887640449,124
uniform,5647.370786516854,125
uniform,5643.370786516854,126
uniform,5621.089887640449,127
uniform,5621.089887640449,128
uniform,5583.011235955056,129
uniform,5583.011235955056,130
uniform,5664.370786516854,131
uniform,5588.730337078652,132
uniform,5588.730337078652,133
uniform,5540.011235955056,134
uniform,5651.370786516854,135
uniform,5540.011235955056,136
uniform,5540.011235955056,137
uniform,5617.089887640449,138
uniform,5617.089887640449,139
uniform,5617.089887640449,140
uniform,5443.651685393258,141
uniform,5546.011235955056,142
uniform,5546.011235955056,143
uniform,5617.089887640449,144
uniform,5617.089887640449,145
uniform,5617.089887640449,146
uniform,5617.089887640449,147
uniform,5617.089887640449,148
uniform,5617.089887640449,149
uniform,5617.089887640449,150
uniform,5617.089887640449,151
uniform,5617.089887640449,152
uniform,5617.089887640449,153
uniform,5617.089887640449,154
uniform,5539.011235955056,155
uniform,5544.011235955056,156
uniform,5428.651685393258,157
uniform,5428.651685393258,158
uniform,5434.651685393258,159
uniform,5434.651685393258,160
uniform,5423.651685393258,161
uniform,5434.651685393258,162
uniform,5332.292134831461,163
uniform,5332.292134831461,164
uniform,5150.573033707865,165
uniform,5204.932584269663,166
uniform,5137.85393258427,167
uniform,5137.85393258427,168
uniform,5156.573033707865,169
uniform,5241.932584269663,170
uniform,5340.292134831461,171
uniform,5340.292134831461,172
uniform,5340.292134831461,173
uniform,5319.292134831461,174
uniform,5319.292134831461,175
uniform,5223.932584269663,176
uniform,5223.932584269663,177
uniform,5223.932584269663,178
uniform,5223.932584269663,179
uniform,5223.932584269663,180
uniform,5242.932584269663,181
uniform,5242.932584269663,182
uniform,5242.932584269663,183
uniform,5137.85393258427,184
uniform,5137.85393258427,185
uniform,5086.573033707865,186
uniform,5086.573033707865,187
uniform,5086.573033707865,188
uniform,5086.573033707865,189
uniform,5137.85393258427,190
uniform,5137.85393258427,191
uniform,5137.85393258427,192
uniform,5086.573033707865,193
uniform,5086.573033707865,194
uniform,5086.573033707865,195
uniform,5086.573033707865,196
uniform,5086.573033707865,197
uniform,4914.134831460674,198
uniform,4853.494382022472,199
